language,handbook,level,code,n
dutch,5,category,102,4
dutch,5,category,406,299
dutch,5,category,502,3077
dutch,5,category,109,238
dutch,5,category,303,3532
dutch,5,category,405,576
dutch,5,category,106,277
dutch,5,category,105,502
dutch,5,category,414,630
dutch,5,category,411,7914
dutch,5,category,507,42
dutch,5,category,410,504
dutch,5,category,605,5204
dutch,5,category,104,1218
dutch,5,category,703,1612
dutch,5,category,301,2233
dutch,5,category,506,4373
dutch,5,category,204,136
dutch,5,category,304,375
dutch,5,category,702,8
dutch,5,category,107,2388
dutch,5,category,602,922
dutch,5,category,305,600
dutch,5,category,705,6
dutch,5,category,606,1801
dutch,5,category,505,1050
dutch,5,category,604,1044
dutch,5,category,415,256
dutch,5,category,409,273
dutch,5,category,607,753
dutch,5,category,201,3157
dutch,5,category,202,3260
dutch,5,category,408,220
dutch,5,category,501,6502
dutch,5,category,601,2434
dutch,5,category,704,162
dutch,5,category,101,274
dutch,5,category,603,1554
dutch,5,category,412,1254
dutch,5,category,504,7741
dutch,5,category,110,1035
dutch,5,category,402,1548
dutch,5,category,404,211
dutch,5,category,706,68
dutch,5,category,413,603
dutch,5,category,503,13466
dutch,5,category,608,939
dutch,5,category,403,6286
dutch,5,category,302,484
dutch,5,category,108,1807
dutch,5,category,401,833
dutch,5,category,701,4531
dutch,5,category,203,212
