estimator,level,code,train_prevalence,mean_true_share,bias,ci_low,ci_high
cc,category,302,0.00506,0.00369,0.0008,-0.00222,0.00464
cc,category,303,0.02459,0.04794,-0.01615,-0.03372,0.0014
cc,category,304,0.00279,0.00187,-0.00119,-0.00249,-0.0003
cc,category,305,0.00431,0.00828,-0.00574,-0.00941,-0.00273
cc,category,401,0.00556,0.0115,-0.01102,-0.0191,-0.00422
cc,category,402,0.01327,0.01705,-0.00683,-0.01505,0.00035
cc,category,403,0.07195,0.04326,0.02664,0.01321,0.0412
cc,category,404,0.00241,0.00058,-0.0001,-0.00076,0.0006
cc,category,405,0.00627,0.00616,-0.0024,-0.00579,0.00075
cc,category,406,0.0026,0.00221,-0.00118,-0.00175,-0.0006
cc,category,407,0.0012,0.00276,-0.00256,-0.00437,-0.00085
cc,category,408,0.00156,0.00208,-0.002,-0.00348,-0.00078
cc,category,409,0.00297,0.00369,-0.00237,-0.00402,-0.00079
cc,category,410,0.00316,0.00435,-0.00212,-0.0039,-0.00043
cc,category,411,0.07155,0.0657,0.00972,0.00409,0.01718
cc,category,412,0.01336,0.01114,-0.00749,-0.01748,0.00062
cc,category,413,0.008,0.00398,-0.00165,-0.00549,0.00153
cc,category,414,0.00429,0.00985,-0.00809,-0.01325,-0.00335
cc,category,415,0.00357,0.00198,-0.00126,-0.00431,0.00074
cc,category,416,0.06378,0.0468,0.00574,-0.00392,0.01586
cc,category,501,0.05516,0.04507,0.00388,-0.0082,0.01295
cc,category,502,0.02971,0.02696,-0.00122,-0.0055,0.00231
cc,category,503,0.15084,0.10205,0.09655,0.06994,0.12389
cc,category,504,0.07599,0.06993,0.00656,-0.01022,0.01997
cc,category,505,0.00659,0.01059,-0.01014,-0.01762,-0.0028
cc,category,506,0.03951,0.04709,0.00208,-0.00298,0.00625
cc,category,601,0.01448,0.02938,-0.01159,-0.02351,0.00047
cc,category,602,0.01023,0.01184,-0.00269,-0.00825,0.00284
cc,category,603,0.00863,0.01397,-0.01149,-0.02901,-0.0004
cc,category,604,0.01057,0.01564,-0.00561,-0.01155,-3e-05
cc,category,605,0.04396,0.0498,0.00044,-0.00853,0.01097
cc,category,606,0.01494,0.02832,-0.01603,-0.03217,-0.00232
cc,category,607,0.00965,0.00452,0.00088,-0.00332,0.00484
cc,category,608,0.0042,0.00909,-0.00579,-0.01111,-0.00119
cc,category,701,0.04577,0.04286,0.00855,-0.00129,0.01974
cc,category,703,0.01304,0.01345,-0.00201,-0.00621,0.0022
cc,category,704,0.00129,0.00238,-0.00224,-0.00409,-0.00069
cc,domain,domain_1,0.07029,0.0781,0.00242,-0.00247,0.0076
cc,domain,domain_2,0.06769,0.07313,-0.01107,-0.0298,0.00711
cc,domain,domain_3,0.05197,0.09273,-0.03449,-0.06213,-0.00717
cc,domain,domain_4,0.27549,0.2331,-0.007,-0.03193,0.01046
cc,domain,domain_5,0.3578,0.30169,0.09771,0.05308,0.14025
cc,domain,domain_6,0.11666,0.16256,-0.05188,-0.08489,-0.02448
cc,domain,domain_7,0.06009,0.05869,0.0043,-0.00507,0.01402
pa,leaf,101,0.00305,0.00293,0.00047,-0.00115,0.00231
pa,leaf,103.1,0.00116,0.00486,-0.00287,-0.01076,0.00129
pa,leaf,104,0.01039,0.01049,0.00197,-0.001,0.00449
pa,leaf,105,0.00578,0.00484,-0.0006,-0.00511,0.00286
pa,leaf,106,0.00331,0.00252,0.00068,-0.00121,0.00222
pa,leaf,107,0.02238,0.0227,0.00366,-0.00127,0.00788
pa,leaf,108,0.01708,0.02084,0.00054,-0.00457,0.00437
pa,leaf,109,0.00112,0.00133,3e-05,-0.00066,0.00065
pa,leaf,110,0.00602,0.00759,-0.00062,-0.00433,0.00262
pa,leaf,201.1,0.00788,0.00877,0.00014,-0.00292,0.00308
pa,leaf,201.2,0.02337,0.02871,-0.00468,-0.022,0.00899
pa,leaf,202.1,0.02638,0.02671,0.00093,-0.01145,0.01221
pa,leaf,202.3,0.00063,0.00136,-0.00065,-0.00189,0.00038
pa,leaf,202.4,0.00644,0.0035,0.00314,0.00152,0.00468
pa,leaf,203,0.00237,0.00158,0.00124,-0.00068,0.00262
pa,leaf,204,0.00063,0.0025,-0.00169,-0.00414,0.00011
pa,leaf,301,0.01523,0.03095,-0.0133,-0.02969,0.00042
pa,leaf,302,0.00506,0.00369,0.0031,0.0007,0.00592
pa,leaf,303,0.02459,0.04794,-0.01784,-0.04109,0.00444
pa,leaf,304,0.00279,0.00187,0.00027,-0.00082,0.00108
pa,leaf,305.1,0.00329,0.00625,-0.0031,-0.00643,-0.00068
pa,leaf,305.3,0.00101,0.00203,-0.00077,-0.0033,0.00119
pa,leaf,401,0.00556,0.0115,-0.00567,-0.01279,0.00102
pa,leaf,402,0.01327,0.01705,-0.00266,-0.01041,0.00439
pa,leaf,403,0.07195,0.04326,0.01584,0.00118,0.03052
pa,leaf,404,0.00241,0.00058,0.00202,0.00143,0.00258
pa,leaf,405,0.00627,0.00616,0.00046,-0.00288,0.0034
pa,leaf,406,0.0026,0.00221,0.00062,1e-05,0.00121
pa,leaf,407,0.0012,0.00276,-0.00149,-0.00325,0.00017
pa,leaf,408,0.00156,0.00208,-0.00048,-0.002,0.00072
pa,leaf,409,0.00297,0.00369,-0.00078,-0.00264,0.00119
pa,leaf,410,0.00316,0.00435,-0.00063,-0.00294,0.00157
pa,leaf,411,0.07155,0.0657,0.00304,-0.00688,0.01398
pa,leaf,412,0.01336,0.01114,0.00041,-0.00976,0.00836
pa,leaf,413,0.008,0.00398,0.00217,-0.00172,0.00533
pa,leaf,414,0.00429,0.00985,-0.00542,-0.01049,-0.00062
pa,leaf,415,0.00357,0.00198,0.00115,-0.00192,0.00307
pa,leaf,416.1,0.00463,0.00404,0.00041,-0.00537,0.0038
pa,leaf,416.2,0.05916,0.04276,0.00731,-0.00037,0.01506
pa,leaf,501,0.05516,0.04507,0.00228,-0.01123,0.01535
pa,leaf,502,0.02971,0.02696,-0.00034,-0.00443,0.00318
pa,leaf,503,0.15084,0.10205,0.04324,0.01273,0.07374
pa,leaf,504,0.07599,0.06993,0.00238,-0.01119,0.01448
pa,leaf,505,0.00659,0.01059,-0.00428,-0.01217,0.00265
pa,leaf,506,0.03951,0.04709,-0.00393,-0.01065,0.0016
pa,leaf,601.1,0.00905,0.01852,-0.00392,-0.01083,0.00369
pa,leaf,601.2,0.00542,0.01086,-0.00496,-0.01082,0.0011
pa,leaf,602.1,0.00158,0.00598,-0.00399,-0.00888,0.00029
pa,leaf,602.2,0.00866,0.00586,0.00403,0.00147,0.00659
pa,leaf,603,0.00863,0.01397,-0.00563,-0.02338,0.00549
pa,leaf,604,0.01057,0.01564,-0.0035,-0.01016,0.00301
pa,leaf,605.1,0.03642,0.04328,-0.00214,-0.01505,0.01126
pa,leaf,605.2,0.00754,0.00652,0.00135,-0.0036,0.00514
pa,leaf,606.1,0.01494,0.02832,-0.01124,-0.02909,0.00291
pa,leaf,607.1,0.00231,0.00259,5e-05,-0.00267,0.00236
pa,leaf,607.2,0.00734,0.00193,0.00735,0.00522,0.00939
pa,leaf,608.1,0.0004,0.00052,-3e-05,-0.00095,0.0005
pa,leaf,608.2,0.0038,0.00856,-0.00351,-0.00895,0.00112
pa,leaf,701,0.04577,0.04286,0.0017,-0.01154,0.01439
pa,leaf,703.1,0.01223,0.0119,0.00049,-0.00448,0.00533
pa,leaf,703.2,0.00081,0.00156,-0.00071,-0.00185,0.0004
pa,leaf,704,0.00129,0.00238,-0.00103,-0.00289,0.00036
pa,category,101,0.00305,0.00293,0.00047,-0.00107,0.00238
pa,category,103,0.00116,0.00486,-0.00287,-0.01076,0.00127
pa,category,104,0.01039,0.01049,0.00197,-0.00096,0.00472
pa,category,105,0.00578,0.00484,-0.0006,-0.00531,0.0028
pa,category,106,0.00331,0.00252,0.00068,-0.00122,0.00231
pa,category,107,0.02238,0.0227,0.00366,-0.00102,0.0079
pa,category,108,0.01708,0.02084,0.00054,-0.00495,0.00449
pa,category,109,0.00112,0.00133,3e-05,-0.00072,0.00066
pa,category,110,0.00602,0.00759,-0.00062,-0.00421,0.00259
pa,category,201,0.03124,0.03748,-0.00454,-0.02188,0.00921
pa,category,202,0.03345,0.03157,0.00341,-0.00925,0.01501
pa,category,203,0.00237,0.00158,0.00124,-0.00062,0.00263
pa,category,204,0.00063,0.0025,-0.00169,-0.0042,0.00018
pa,category,301,0.01523,0.03095,-0.0133,-0.03014,0.00021
pa,category,302,0.00506,0.00369,0.0031,0.00081,0.00599
pa,category,303,0.02459,0.04794,-0.01784,-0.04107,0.00466
pa,category,304,0.00279,0.00187,0.00027,-0.0008,0.00109
pa,category,305,0.00431,0.00828,-0.00387,-0.00735,-0.00057
pa,category,401,0.00556,0.0115,-0.00567,-0.0129,0.00111
pa,category,402,0.01327,0.01705,-0.00266,-0.01054,0.00458
pa,category,403,0.07195,0.04326,0.01584,0.00056,0.0304
pa,category,404,0.00241,0.00058,0.00202,0.00141,0.00256
pa,category,405,0.00627,0.00616,0.00046,-0.00308,0.00366
pa,category,406,0.0026,0.00221,0.00062,0.0,0.00122
pa,category,407,0.0012,0.00276,-0.00149,-0.00323,0.00014
pa,category,408,0.00156,0.00208,-0.00048,-0.00193,0.00075
pa,category,409,0.00297,0.00369,-0.00078,-0.00267,0.00127
pa,category,410,0.00316,0.00435,-0.00063,-0.00295,0.0016
pa,category,411,0.07155,0.0657,0.00304,-0.00684,0.01427
pa,category,412,0.01336,0.01114,0.00041,-0.00915,0.00807
pa,category,413,0.008,0.00398,0.00217,-0.00179,0.0053
pa,category,414,0.00429,0.00985,-0.00542,-0.01069,-0.00056
pa,category,415,0.00357,0.00198,0.00115,-0.00195,0.00305
pa,category,416,0.06378,0.0468,0.00772,-0.00416,0.01815
pa,category,501,0.05516,0.04507,0.00228,-0.01306,0.01478
pa,category,502,0.02971,0.02696,-0.00034,-0.00435,0.00334
pa,category,503,0.15084,0.10205,0.04324,0.01162,0.07231
pa,category,504,0.07599,0.06993,0.00238,-0.01234,0.01443
pa,category,505,0.00659,0.01059,-0.00428,-0.01206,0.00292
pa,category,506,0.03951,0.04709,-0.00393,-0.01084,0.00204
pa,category,601,0.01448,0.02938,-0.00888,-0.02115,0.00348
pa,category,602,0.01023,0.01184,4e-05,-0.0056,0.00495
pa,category,603,0.00863,0.01397,-0.00563,-0.0229,0.00526
pa,category,604,0.01057,0.01564,-0.0035,-0.01005,0.00284
pa,category,605,0.04396,0.0498,-0.00079,-0.01012,0.00993
pa,category,606,0.01494,0.02832,-0.01124,-0.02822,0.00324
pa,category,607,0.00965,0.00452,0.0074,0.00284,0.01194
pa,category,608,0.0042,0.00909,-0.00354,-0.00908,0.0015
pa,category,701,0.04577,0.04286,0.0017,-0.01126,0.01466
pa,category,703,0.01304,0.01345,-0.00022,-0.00438,0.00416
pa,category,704,0.00129,0.00238,-0.00103,-0.00279,0.00043
pa,domain,domain_1,0.07029,0.0781,0.00327,-0.00229,0.00802
pa,domain,domain_2,0.06769,0.07313,-0.00157,-0.02262,0.01932
pa,domain,domain_3,0.05197,0.09273,-0.03163,-0.06471,-0.00035
pa,domain,domain_4,0.27549,0.2331,0.01629,-0.00561,0.03326
pa,domain,domain_5,0.3578,0.30169,0.03935,-0.00845,0.08315
pa,domain,domain_6,0.11666,0.16256,-0.02615,-0.05937,0.00123
pa,domain,domain_7,0.06009,0.05869,0.00045,-0.01256,0.01206
