estimator,level,code,train_prevalence,mean_true_share,bias,ci_low,ci_high
cc,category,301,0.01636,0.01168,0.00345,-0.00051,0.00739
cc,category,302,0.00095,0.00085,-0.00073,-0.00158,-5e-05
cc,category,303,0.01576,0.02111,-0.00374,-0.01204,0.00257
cc,category,304,0.0047,0.03013,-0.01473,-0.03216,-0.00279
cc,category,305,0.02375,0.02703,-0.00222,-0.01443,0.00736
cc,category,401,0.01214,0.01878,-0.00943,-0.02001,-3e-05
cc,category,402,0.04259,0.02078,0.00499,0.0011,0.00869
cc,category,403,0.04142,0.03582,0.01633,0.00574,0.02812
cc,category,404,0.0039,0.00308,-0.00228,-0.00478,-0.00052
cc,category,405,0.00126,0.00128,-0.00088,-0.00174,-0.00017
cc,category,406,0.0052,0.01187,-0.00682,-0.01167,-0.00262
cc,category,407,0.00626,0.0034,0.00073,-0.00084,0.0023
cc,category,408,0.00212,0.00276,-0.00274,-0.00473,-0.00115
cc,category,409,0.00535,0.0029,-0.00162,-0.00399,3e-05
cc,category,410,0.0357,0.02053,0.00241,-0.00162,0.00676
cc,category,411,0.09424,0.06055,0.01189,0.00667,0.01744
cc,category,412,0.00456,0.0084,-0.00539,-0.00877,-0.0023
cc,category,413,0.00397,0.01454,-0.00697,-0.01566,-0.00114
cc,category,414,0.01193,0.00766,0.00541,0.00184,0.00917
cc,category,416,0.0298,0.03007,0.00113,-0.00434,0.00666
cc,category,501,0.05621,0.0573,0.00435,-0.00434,0.012
cc,category,502,0.02005,0.01581,-0.00463,-0.00874,-0.00152
cc,category,503,0.06674,0.08281,0.00599,-0.00348,0.01534
cc,category,504,0.13094,0.12198,0.02364,0.0113,0.03547
cc,category,505,0.00339,0.00481,-0.00397,-0.00679,-0.00134
cc,category,506,0.04602,0.05713,0.00284,-0.00337,0.00926
cc,category,507,0.00052,0.00159,-0.00155,-0.00364,-9e-05
cc,category,601,0.01994,0.0217,0.00138,-0.00689,0.00937
cc,category,602,0.00853,0.00694,0.00108,-0.00243,0.00426
cc,category,603,0.0042,0.01357,-0.00918,-0.01689,-0.00288
cc,category,604,0.0024,0.00484,-0.00208,-0.00534,0.00049
cc,category,605,0.05218,0.05465,0.00261,-0.00365,0.00932
cc,category,606,0.00746,0.00761,-0.00304,-0.00504,-0.00121
cc,category,607,0.02084,0.02121,-0.00363,-0.00857,0.001
cc,category,701,0.03991,0.04103,0.00309,-0.00232,0.00814
cc,category,702,0.00199,0.00122,-0.00041,-0.00195,0.00101
cc,category,703,0.04697,0.0277,0.00593,0.00143,0.01079
cc,category,704,0.00108,0.00108,-0.00073,-0.00212,0.00032
cc,category,705,0.00318,0.00225,-0.00202,-0.00384,-0.00053
cc,category,706,0.00839,0.01068,-0.00692,-0.01218,-0.00241
cc,domain,domain_1,0.06478,0.05499,0.00205,-0.00396,0.00712
cc,domain,domain_2,0.03233,0.05586,-0.0036,-0.01215,0.00602
cc,domain,domain_3,0.06152,0.09081,-0.01798,-0.04579,0.00338
cc,domain,domain_4,0.30043,0.24242,0.00676,-0.00826,0.02247
cc,domain,domain_5,0.32387,0.34145,0.02668,0.00727,0.04621
cc,domain,domain_6,0.11555,0.13051,-0.01286,-0.02576,0.0012
cc,domain,domain_7,0.10152,0.08396,-0.00106,-0.01031,0.0079
pa,leaf,101,0.00437,0.00225,0.00102,-0.00072,0.0027
pa,leaf,103.1,0.00095,0.00112,8e-05,-0.00118,0.00099
pa,leaf,104,0.03065,0.02321,0.00077,-0.00552,0.00561
pa,leaf,105,0.00271,0.00294,0.00151,-0.00028,0.00325
pa,leaf,106,0.00252,0.00278,0.00046,-0.00057,0.00143
pa,leaf,107,0.01554,0.0096,0.00436,0.00197,0.00669
pa,leaf,108,0.00516,0.00439,0.00232,-0.00053,0.00574
pa,leaf,109,0.00082,0.00264,-0.00146,-0.0042,0.00063
pa,leaf,110,0.00205,0.00607,-0.0024,-0.007,0.00083
pa,leaf,201.1,0.00281,0.00609,-0.00157,-0.00619,0.00162
pa,leaf,201.2,0.0115,0.00999,0.00441,0.00101,0.00789
pa,leaf,202.1,0.01489,0.02608,0.00263,-0.00258,0.008
pa,leaf,202.3,0.00065,0.0036,-0.00187,-0.0074,0.0021
pa,leaf,202.4,0.00069,0.00475,-0.00327,-0.0079,-0.00025
pa,leaf,203,0.00061,0.00354,-0.00238,-0.00606,0.00029
pa,leaf,204,0.00117,0.00181,0.00049,-0.00127,0.00203
pa,leaf,301,0.01636,0.01168,0.00597,0.00151,0.01017
pa,leaf,302,0.00095,0.00085,0.00022,-0.0006,0.00084
pa,leaf,303,0.01576,0.02111,-0.00107,-0.01021,0.0063
pa,leaf,304,0.0047,0.03013,-0.01472,-0.03255,-0.00245
pa,leaf,305.1,0.0192,0.02172,-0.00062,-0.01023,0.00716
pa,leaf,305.2,0.00356,0.0013,0.00132,0.00051,0.0022
pa,leaf,305.3,0.00098,0.00402,-0.00188,-0.00593,0.00074
pa,leaf,401,0.01214,0.01878,-0.00544,-0.01701,0.00474
pa,leaf,402,0.04259,0.02078,0.00689,0.00341,0.0105
pa,leaf,403,0.04142,0.03582,0.01084,0.00117,0.021
pa,leaf,404,0.0039,0.00308,-9e-05,-0.00207,0.00153
pa,leaf,405,0.00126,0.00128,0.00012,-0.00061,0.00074
pa,leaf,406,0.0052,0.01187,-0.00527,-0.01088,-0.00062
pa,leaf,407,0.00626,0.0034,0.00078,-0.0009,0.0023
pa,leaf,408,0.00212,0.00276,-0.00042,-0.00237,0.00104
pa,leaf,409,0.00535,0.0029,-0.0003,-0.00277,0.0015
pa,leaf,410,0.0357,0.02053,0.0029,-0.00211,0.0078
pa,leaf,411,0.09424,0.06055,0.0036,-0.00318,0.01007
pa,leaf,412,0.00456,0.0084,-0.003,-0.00724,0.00035
pa,leaf,413,0.00397,0.01454,-0.00596,-0.01514,0.00026
pa,leaf,414,0.01193,0.00766,0.00565,0.00253,0.00872
