wave,coder,code,name,bes_share,model_share,gap
3,human,3,Election outcome,0.00205,0.0036,-0.00156
3,human,4,Pol-neg,0.03139,0.03225,-0.00086
3,human,5,Partisan-neg,0.01733,0.01674,0.00059
3,human,6,Societal divides,0.00519,0.00554,-0.00035
3,human,7,Morals,0.00232,0.00261,-0.00029
3,human,8,"Nat ident, goals-loss",0.00355,0.00466,-0.00111
3,human,9,Racism/discrimination,0.00177,0.00205,-0.00028
3,human,10,Welfare,0.01051,0.01054,-3e-05
3,human,11,Terrorism,0.13824,0.13457,0.00367
3,human,12,Immigration,0.23212,0.23157,0.00055
3,human,13,Asylum,0.00068,0.00062,6e-05
3,human,14,Crime,0.00532,0.00626,-0.00094
3,human,15,Europe,0.01624,0.01951,-0.00327
3,human,16,Constitutional,0.01269,0.01185,0.00084
3,human,17,International trade,0.00082,0.00096,-0.00014
3,human,18,Devolution,0.02429,0.02201,0.00228
3,human,19,Scot-ind,0.02866,0.02636,0.0023
3,human,21,Foreign affairs,0.01078,0.01146,-0.00068
3,human,22,War,0.02374,0.02239,0.00135
3,human,23,Defence,0.00682,0.00689,-7e-05
3,human,24,Foreign emergency,0.0,2e-05,-2e-05
3,human,25,Domestic emergency,0.00014,0.00028,-0.00014
3,human,26,Economy-general,0.16826,0.16906,-0.0008
3,human,27,Economy-personal,0.00096,0.00117,-0.00021
3,human,28,Unemployment,0.02415,0.02357,0.00059
3,human,29,Taxation,0.003,0.00287,0.00014
3,human,30,Debt/deficit,0.02142,0.02153,-0.00011
3,human,31,Inflation,0.00109,0.00095,0.00014
3,human,32,Living costs,0.02238,0.02273,-0.00035
3,human,33,Poverty,0.01678,0.01763,-0.00084
3,human,34,Austerity,0.01228,0.01289,-0.00061
3,human,35,Inequality,0.03521,0.0344,0.00081
3,human,36,Housing,0.01255,0.01294,-0.00038
3,human,37,Social care,0.00096,0.00102,-7e-05
3,human,38,Pensions/ageing,0.00409,0.00407,3e-05
3,human,39,Transport/infrastructure,0.00164,0.00163,1e-05
3,human,40,Environment,0.0202,0.01956,0.00063
3,human,41,Pol values-auth,0.00014,0.00056,-0.00042
3,human,42,Pol values-liberal,0.00218,0.00202,0.00016
3,human,43,Pol values-right,0.00055,0.00063,-8e-05
3,human,44,Pol values-left,0.00341,0.00368,-0.00026
3,human,45,Other,0.00041,0.00025,0.00016
3,human,46,Uncoded,0.00587,0.00531,0.00056
3,human,47,Referendum unspecified,0.00355,0.00383,-0.00028
3,human,48,Coronavirus,0.0,0.0008,-0.0008
3,human,49,Covid-economy,0.0,0.00045,-0.00045
3,human,50,Gender/sexuality/family,0.00136,0.00114,0.00022
4,human,1,Health,0.10543,0.10582,-0.00039
4,human,2,Education,0.00707,0.00697,0.0001
4,human,3,Election outcome,0.0265,0.02762,-0.00111
4,human,4,Pol-neg,0.02262,0.02287,-0.00025
4,human,5,Partisan-neg,0.0159,0.01467,0.00123
4,human,6,Societal divides,0.00236,0.00283,-0.00047
4,human,7,Morals,0.00306,0.00305,1e-05
4,human,8,"Nat ident, goals-loss",0.00318,0.00332,-0.00014
4,human,9,Racism/discrimination,0.0033,0.00322,8e-05
4,human,10,Welfare,0.01944,0.01912,0.00032
4,human,11,Terrorism,0.0662,0.06535,0.00085
4,human,12,Immigration,0.24031,0.23929,0.00102
4,human,13,Asylum,0.00024,0.00036,-0.00012
4,human,14,Crime,0.00742,0.00758,-0.00015
4,human,15,Europe,0.01944,0.01933,0.00011
4,human,16,Constitutional,0.00165,0.00179,-0.00014
4,human,17,International trade,0.00047,0.00058,-0.00011
4,human,18,Devolution,0.0013,0.00144,-0.00014
4,human,19,Scot-ind,0.00601,0.00569,0.00032
4,human,21,Foreign affairs,0.00448,0.00496,-0.00049
4,human,22,War,0.00271,0.00246,0.00025
4,human,23,Defence,0.01767,0.0168,0.00087
4,human,24,Foreign emergency,0.0,2e-05,-2e-05
4,human,25,Domestic emergency,0.0,0.0001,-0.0001
4,human,26,Economy-general,0.18978,0.1889,0.00088
4,human,27,Economy-personal,0.00071,0.00058,0.00012
4,human,28,Unemployment,0.02827,0.02761,0.00066
4,human,29,Taxation,0.00577,0.0057,7e-05
4,human,30,Debt/deficit,0.03298,0.03271,0.00027
4,human,31,Inflation,0.00082,0.00098,-0.00016
4,human,32,Living costs,0.02026,0.02068,-0.00042
4,human,33,Poverty,0.01543,0.01623,-0.0008
4,human,34,Austerity,0.02757,0.02808,-0.00051
4,human,35,Inequality,0.04205,0.04132,0.00073
4,human,36,Housing,0.0238,0.02359,0.00021
4,human,37,Social care,0.00141,0.00146,-5e-05
4,human,38,Pensions/ageing,0.00483,0.00505,-0.00022
4,human,39,Transport/infrastructure,0.00106,0.00105,1e-05
4,human,40,Environment,0.01861,0.01863,-1e-05
4,human,41,Pol values-auth,0.00024,0.00064,-0.0004
4,human,42,Pol values-liberal,0.00177,0.00167,9e-05
4,human,43,Pol values-right,0.00024,0.00054,-0.0003
4,human,44,Pol values-left,0.00247,0.00306,-0.00059
4,human,45,Other,0.00012,0.00015,-3e-05
4,human,46,Uncoded,0.00401,0.0044,-0.00039
4,human,47,Referendum unspecified,0.00024,0.00024,-1e-05
4,human,48,Coronavirus,0.0,0.00052,-0.00052
